"id","Y","X","SOC","BLD","CRFVOL","OCSKGM","meaERROR","OCSKGMlog"
"P0299",42.1278180390457,21.8120153231201,2.28669730392157,1.2738421160533,1,0.865128725723047,3.78,-0.144876967257446
"P0306",42.0782637255082,21.7285716570903,5.07955758426966,0.938199753133023,2,1.40109806344651,2.76,0.337256260227589
"P0307",42.0819900389073,21.7129985626459,3.7640986406068,1.07730197416552,2,1.19219084356496,3.17,0.175792659489817
"P0313",42.0443720571411,21.6650576363838,4.92548406862745,0.943402335484103,2,1.36613367307747,2.78,0.311984613665032
"P0314",42.0469502203598,21.6487888148937,3.62468451991231,1.10611118015907,2.67017719725606,1.1706745646774,3.23,0.157580133674313
"P0319",42.0588728335604,21.6658009483085,4.56722889171265,0.996000493072563,2.03329042303503,1.33694058443676,2.93,0.290383857668436
"P0320",42.2571661776366,21.892718332169,2.25321428571429,1.28357126808582,24.8226600985222,0.652274938249421,2.9,-0.42728912150775
"P0321",42.2735733342285,21.9049758366966,2.5,1.2443444544545,17,0.774604422897929,3.1,-0.255402802005666
"P0322",42.2690881103722,21.9288164536874,1.63,1.38842092932811,31,0.468467105764597,2.87,-0.758289391583786
"P0323",42.2564796082657,21.9214686658221,1.44,1.42443986921955,46,0.332293332691538,2.31,-1.10173716794705
"P0324",42.2614064824912,21.9553326961459,2.66,1.22104191643486,22,0.760025330465715,2.86,-0.274403516697027
"P0325",42.2684803310516,21.9875505933232,1.59,1.39585167622021,26,0.49270772467221,3.1,-0.707839131308299
"P0326",42.2686711566087,22.0303320674192,6.65,0.83234024044778,10.6316482642657,1.48397826367425,2.24,0.394726497518142
"P0327",42.2803577832349,22.050151566412,6.55504184083238,0.864973804468499,8.2921808894639,1.55993335246514,2.39,0.444643097570046
"P0328",42.2897708933829,22.0958410935819,7.48717844215225,0.789497647979443,7.45621615001497,1.6411093946279,2.2,0.495372473279038
"P0329",42.2760605176851,22.0984888670698,7.34342712193435,0.835407299523801,25.3107657665198,1.37459992646443,1.88,0.318162726209391
"P0330",42.2662019173181,22.1363669837118,6.94214105383617,0.856005980508576,14.5292187869374,1.52373400841791,2.2,0.42116390687257
"P0331",42.2675856819641,22.2316806082764,2.20466389254352,1.30283622309897,32.674566506834,0.58013975523931,2.63,-0.544486247158067
"P0332",42.2615189996719,22.259718482828,3.27,1.13967401639705,21,0.883235965967547,2.7,-0.124162881951995
"P0333",42.289824597809,22.2240379463935,8.06,0.748174567777158,31,1.24826941237077,1.56,0.221758121946605
"P0334",42.3080811527518,22.2081017523438,1.41,1.4302986081318,40,0.363009786743851,2.57,-1.01332548435386
"P0335",42.3254830773132,22.2715009907254,2.32,1.27164626796846,25,0.663799351879538,2.86,-0.409775356075863
"P0336",42.2644227303223,22.3036060547999,3.29344107031575,1.16808789834416,29.9569549750727,0.808372804544003,2.46,-0.212731935107112
"P0337",42.2698643476353,22.3213800777478,3.59,1.10117933487746,39,0.723441787634447,2.02,-0.323735195533328
"P0338",42.2890470101971,22.3146146624037,2.69,1.21676951354197,43,0.559701808534172,2.08,-0.580351121833706
"P0339",42.3052921250094,22.2881477905194,2.04,1.31658119632193,43,0.459276184524943,2.25,-0.778103540671323
"P0340",42.2329617534405,21.8708847805763,2.091400304414,1.3224838556045,16.7907153729072,0.690431486759595,3.3,-0.370438533706523
"P0341",42.2158162522918,21.8653199146669,1.14,1.48527936061029,22,0.3962131222364,3.48,-0.925803025032933
