"ProfID","HorID","top","bottom","SOC","BLD","CRF","SAND","SILT","CLAY"
"P0093","P0093H02",12,27,4.57,NA,41,61,25,13
"P0094","P0094H01",0,13,6.29,NA,35,62,27,10
"P0094","P0094H02",13,24,3.22,NA,41,64,28,9
"P0095","P0095H01",0,14,5.81,NA,55,65,25,9
"P0095","P0095H02",14,28,5.29,NA,48,64,22,15
"P0096","P0096H01",0,10,3.15,NA,44,80,13,7
"P0097","P0097H01",0,13,7.97,NA,46,67,28,5
"P0097","P0097H02",13,27,4.11,NA,38,68,26,5
"P0098","P0098H01",0,18,8.99,NA,50,72,20,8
"P0099","P0099H01",0,10,10.4,NA,48,55,39,6
"P0100","P0100H01",0,16,9.13,NA,50,79,19,2
"P0100","P0100H02",16,37,7.55,NA,44,70,25,5
"P0101","P0101H01",0,18,1.59,NA,35,78,14,8
"P0102","P0102H01",0,17,1.47,NA,17,85,12,3
"P0103","P0103H01",0,15,2.74,NA,20,74,21,5
"P0103","P0103H02",15,32,2.12,NA,20,67,23,10
"P0104","P0104H01",0,14,1.78,NA,24,84,11,4
"P0104","P0104H02",14,29,1.27,NA,31,82,12,6
"P0105","P0105H01",0,12,3.4,NA,15,63,26,10
"P0105","P0105H02",12,37,3.14,NA,25,63,28,9
"P0106","P0106H01",0,22,3.3,NA,18,66,23,12
"P0106","P0106H02",22,36,2.83,NA,11,62,22,17
"P0106","P0106H03",36,50,1.29,NA,12,52,23,25
"P0107","P0107H01",0,22,2.72,NA,26,54,26,20
"P0107","P0107H02",22,33,1.84,NA,16,51,31,17
"P0107","P0107H03",33,70,1.22,NA,13,42,28,30
"P0108","P0108H01",0,25,3.62,NA,1,35,42,23
"P0108","P0108H02",25,40,3.18,NA,1,28,47,26
"P0108","P0108H03",40,62,1.88,NA,1,25,51,24
"P0109","P0109H01",0,16,3.62,NA,6,57,29,13
"P0109","P0109H02",16,35,2.22,NA,4,46,42,11
"P0110","P0110H01",0,16,4.79,NA,9,56,32,13
"P0110","P0110H02",16,37,2.48,NA,9,65,20,15
"P0111","P0111H01",0,18,3.72,NA,11,53,35,11
"P0111","P0111H02",18,41,2.45,NA,10,43,41,16
"P0111","P0111H03",41,55,1.54,NA,4,41,42,16
"P0112","P0112H01",0,25,3.4,NA,14,46,35,19
"P0112","P0112H02",25,37,3.28,NA,21,54,30,16
"P0112","P0112H03",37,70,1.53,NA,10,47,40,12
"P0114","P0114H01",0,16,3.4,NA,15,56,24,20
"P0114","P0114H02",16,35,2.67,NA,19,57,29,14
"P0115","P0115H01",0,22,2.02,NA,1,31,48,21
"P0116","P0116H01",0,23,1.56,NA,0,84,13,2
"P0116","P0116H02",23,36,1.05,NA,7,85,14,1
"P0116","P0116H03",36,55,0.73,NA,0,85,14,1
"P0117","P0117H01",0,13,5.8,NA,0,71,24,6
"P0118","P0118H01",0,18,5.27,NA,17,64,19,17
"P0118","P0118H02",18,43,4.16,NA,40,66,15,19
"P0119","P0119H01",0,20,3.6,NA,16,61,29,10
"P0119","P0119H02",20,43,1.84,NA,19,64,27,10
"P0120","P0120H01",0,17,3.47,NA,10,61,21,18
"P0120","P0120H02",17,37,1.6,NA,7,52,24,24
"P0120","P0120H03",37,53,1.04,NA,9,46,23,32
"P0122","P0122H01",0,20,8.7,NA,15,52,34,14
"P0122","P0122H02",20,46,5.52,NA,21,38,33,29
"P0123","P0123H01",0,30,3.96,NA,9,56,27,18
"P0123","P0123H02",30,58,3.08,NA,3,56,24,20
"P0123","P0123H03",58,70,1.97,NA,3,54,26,20
"P0124","P0124H01",0,18,2.79,NA,15,54,28,17
"P0124","P0124H02",18,30,2.69,NA,12,63,27,10
"P0125","P0125H01",0,20,5.88,NA,13,54,26,20
"P0125","P0125H02",20,35,4.32,NA,13,47,29,24
"P0126","P0126H01",0,20,4.97,NA,15,45,39,15
"P0127","P0127H01",0,14,5.97,NA,17,54,30,16
"P0127","P0127H02",14,36,3.79,NA,17,53,31,16
"P0128","P0128H01",0,20,3.44,NA,7,40,41,19
"P0128","P0128H02",20,32,3.01,NA,9,56,31,12
"P0129","P0129H01",0,18,5.46,NA,17,55,29,16
"P0129","P0129H02",18,38,4.33,NA,20,46,40,14
"P0130","P0130H01",0,14,6.71,NA,23,64,28,8
"P0131","P0131H01",0,20,2.11,NA,13,63,22,15
"P0131","P0131H02",20,50,1.79,NA,13,54,22,24
"P0132","P0132H01",0,20,2.17,NA,4,47,21,32
"P0132","P0132H02",20,60,0.89,NA,2,59,11,30
"P0142","P0142H01",0,20,3.23,NA,1,32,24,44
"P0142","P0142H02",60,80,1.9,NA,2,30,19,51
"P0143","P0143H01",0,20,3.72,NA,1,37,18,45
"P0143","P0143H02",60,80,2.08,NA,2,32,14,55
"P0148","P0148H01",0,20,4.24,NA,1,34,28,38
"P0148","P0148H02",20,50,1.67,NA,1,28,18,54
"P0153","P0153H01",0,20,3.74,NA,7,55,17,28
"P0153","P0153H02",20,40,2.73,NA,14,32,29,39
"P0153","P0153H03",40,70,1.36,NA,4,33,19,48
"P0164","P0164H01",0,20,3.18,NA,2,36,21,44
"P0164","P0164H02",20,50,1.65,NA,2,29,13,58
"P0164","P0164H03",90,110,NA,NA,2,32,39,30
"P0165","P0165H01",0,20,3.27,NA,1,34,22,45
"P0165","P0165H02",20,50,2.64,NA,1,29,19,51
"P0165","P0165H03",50,80,2.4,NA,1,30,21,49
"P0165","P0165H04",80,120,1.53,NA,1,34,40,27
"P0168","P0168H01",0,20,2.81,NA,7,53,23,24
"P0168","P0168H02",20,70,1.2,NA,4,27,13,60
"P0168","P0168H03",70,90,1.17,NA,3,27,20,53
"P0175","P0175H01",0,20,3.23,NA,0,NA,NA,NA
"P0175","P0175H02",20,40,2.9,NA,1,NA,NA,NA
"P0175","P0175H03",80,100,1.71,NA,1,NA,NA,NA
"P0179","P0179H01",0,30,2.25,NA,2,39,19,42
"P0179","P0179H02",30,70,1.31,NA,1,31,16,53
"P0179","P0179H03",70,85,1.16,NA,0,31,16,53
"P0179","P0179H04",85,120,0.78,NA,1,39,35,26
"P0197","P0197H01",0,20,3.93,NA,2,35,22,43
"P0197","P0197H02",20,50,2.54,NA,2,36,21,44
"P0231","P0231H01",0,20,2.05,NA,3,47,24,29
"P0231","P0231H02",20,50,1.54,NA,3,40,29,31
"P0246","P0246H01",0,20,3.95,NA,1,42,26,32
"P0246","P0246H02",20,40,2.47,NA,3,35,24,41
"P0249","P0249H01",0,40,1.68,NA,2,38,27,34
"P0249","P0249H02",100,120,0.74,NA,1,27,41,32
"P0255","P0255H01",0,30,3.99,NA,2,42,29,29
"P0255","P0255H02",30,50,1.85,NA,3,39,34,27
"P0260","P0260H01",0,50,3.93,NA,3,40,26,34
"P0260","P0260H02",50,70,1.73,NA,2,39,29,33
"P0280","P0280H01",0,20,1.86,NA,2,46,33,21
"P0280","P0280H02",20,40,1.61,NA,2,46,31,24
"P0283","P0283H01",0,20,2.26,NA,1,49,29,22
"P0293","P0293H01",0,20,2.44,NA,1,40,35,25
"P0295","P0295H01",0,20,2.57,NA,1,40,36,24
"P0299","P0299H01",0,40,2.16,NA,1,45,9,46
"P0299","P0299H02",40,60,1.23,NA,1,42,33,26
"P0306","P0306H01",0,50,4.61,NA,2,32,30,37
"P0306","P0306H02",50,70,2.46,NA,2,32,33,34
"P0307","P0307H01",0,20,3.8,NA,2,34,20,46
"P0307","P0307H02",20,75,3.03,NA,2,37,18,45
"P0307","P0307H03",75,98,1.23,NA,2,34,25,42
"P0313","P0313H01",0,40,4.48,NA,2,35,37,28
"P0313","P0313H02",40,60,1.21,NA,2,32,25,43
"P0314","P0314H01",0,20,4.07,NA,3,41,29,31
"P0314","P0314H02",20,60,1.72,NA,2,32,33,35
"P0314","P0314H03",60,80,0.86,NA,4,41,46,14
"P0319","P0319H01",0,40,4.4,NA,2,33,56,11
"P0319","P0319H02",40,58,3.05,NA,2,34,19,47
"P0319","P0319H03",58,72,2.44,NA,3,42,18,41
"P0320","P0320H01",0,8,2.62,NA,40,86,11,3
"P0320","P0320H02",8,22,2.04,NA,16,82,12,6
"P0321","P0321H01",0,13,2.5,NA,17,83,16,2
"P0322","P0322H01",0,15,1.63,NA,31,87,10,4
"P0323","P0323H01",0,12,1.44,NA,46,89,7,4
"P0324","P0324H01",0,10,2.66,NA,22,76,15,9
"P0325","P0325H01",0,8,1.59,NA,26,94,6,0
"P0326","P0326H01",0,12,6.65,NA,15,70,26,4
"P0326","P0326H02",12,35,NA,NA,7,71,21,8
"P0327","P0327H01",0,5,10.03,NA,21,79,20,1
"P0327","P0327H02",5,14,7.76,NA,12,73,25,3
"P0327","P0327H03",14,40,4.16,NA,0,73,22,5
"P0328","P0328H01",0,14,8.89,NA,6,70,27,4
